Dialogue_Id,Speaker,Emotion,Emotion_name,Utterance,Annotate(0/1)
0.0,monisha,2.0,anger,"abhi ayi. yeh, ye bhi rakho.",0
0.0,sahil,0.0,neutral,"monisha, iss churidaar me nara nhi hai.",1
0.0,monisha,0.0,neutral,to kisee aur churidaar ka nara nikalke dalo na isme sahil.,0
,,,,,
1.0,sahil,0.0,neutral,raddee ka wajan aur churidaar ke naare ka kya sambandh hai?,0
1.0,monisha,0.0,neutral,"akhabaar ke baad magazine ka bundle bechungi nah, toh tumhaara naada mainne",1
1.0,sahil,7.0,surprise,mera choodeedaar ka naara istemaal kiya woh bundle bandne ke liye?,0
,,,,,
2.0,monisha,0.0,neutral,haan to kuchh aur ghar mein tha nehi na sahil?,0
2.0,sahil,2.0,anger,"wo magazine me se nara nikalo, come on.",1
2.0,monisha,2.0,anger,sahil 1 minute na kya,0
,,,,,
3.0,monisha,2.0,anger,sahil 1 minute na kya,0
3.0,sahil,2.0,anger,"nada do na, come on fast",1
3.0,monisha,6.0,fear,"ok fine. toot gya. isiliye kehte hai humesha churidar me na, zip lagani chahiye",1
,,,,,
4.0,maya,0.0,neutral,"hello maaya sarabhai, ha kya baat hai chawkidaar?",0
4.0,rosesh,0.0,neutral,kaun aaya hain mamma?,0
4.0,maya,6.0,fear,municipal corporation se kohi loog aya hain.,1
,,,,,
5.0,rosesh,7.0,surprise,mukje kyun?,0
5.0,indu,0.0,neutral,are tujhe pata nehi? exotic animals ghar pe rakhna mana hain,1
5.0,rosesh,1.0,contempt,"haha, very funny",0
,,,,,
6.0,rosesh,1.0,contempt,"haha, very funny",0
6.0,indu,0.0,neutral,"chal, khel khel",0
6.0,maya,6.0,fear,"ok, bhej do unhe upar. this sounds a bit serious indravadan. municipal corporation ke demolition department se kohi senior officer aya hain niche.",0
6.0,indu,0.0,neutral,iye demolition department wale ihan keya torne ayenge?,0
6.0,maya,1.0,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,1
6.0,rosesh,7.0,surprise,bhabhi ke banay hue gulabjamun itne mazbut the?,0
,,,,,
7.0,maya,1.0,contempt,i have no idea. i mean monisha ke banay hue gulabjamun bhi main kal radhabhai ko de diye. barna unhe turwa ti hatho se.,0
