Sr No.,Utterance,Speaker,Emotion,Trigger,Dialogue_ID,Utterance_ID,Episode_No
1,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Chandler,neutral,0.0,0,0,0.0
2,You must've had your hands full.,The Interviewer,neutral,0.0,0,1,0.0
3,That I did. That I did.,Chandler,neutral,0.0,0,2,0.0
4,So let's talk a little bit about your duties.,The Interviewer,neutral,1.0,0,3,0.0
5,My duties?  All right.,Chandler,surprise,0.0,0,4,0.0
6,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Chandler,neutral,0.0,1,0,0.0
7,You must've had your hands full.,The Interviewer,neutral,0.0,1,1,0.0
8,That I did. That I did.,Chandler,neutral,0.0,1,2,0.0
9,So let's talk a little bit about your duties.,The Interviewer,neutral,0.0,1,3,0.0
10,My duties?  All right.,Chandler,surprise,0.0,1,4,0.0
11,"Now you'll be heading a whole division, so you'll have a lot of duties.",The Interviewer,neutral,1.0,1,5,0.0
12,I see.,Chandler,neutral,0.0,1,6,0.0
13,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Chandler,neutral,0.0,2,0,0.0
14,You must've had your hands full.,The Interviewer,neutral,0.0,2,1,0.0
15,That I did. That I did.,Chandler,neutral,0.0,2,2,0.0
16,So let's talk a little bit about your duties.,The Interviewer,neutral,0.0,2,3,0.0
17,My duties?  All right.,Chandler,surprise,0.0,2,4,0.0
18,"Now you'll be heading a whole division, so you'll have a lot of duties.",The Interviewer,neutral,0.0,2,5,0.0
19,I see.,Chandler,neutral,0.0,2,6,0.0
20,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,1.0,2,7,0.0
21,Good to know.,Chandler,neutral,0.0,2,8,0.0
22,We can go into detail,The Interviewer,neutral,1.0,2,9,0.0
23,No don't I beg of you!,Chandler,fear,0.0,2,10,0.0
24,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Chandler,neutral,0.0,3,0,0.0
25,You must've had your hands full.,The Interviewer,neutral,0.0,3,1,0.0
26,That I did. That I did.,Chandler,neutral,0.0,3,2,0.0
27,So let's talk a little bit about your duties.,The Interviewer,neutral,0.0,3,3,0.0
28,My duties?  All right.,Chandler,surprise,0.0,3,4,0.0
29,"Now you'll be heading a whole division, so you'll have a lot of duties.",The Interviewer,neutral,0.0,3,5,0.0
30,I see.,Chandler,neutral,0.0,3,6,0.0
31,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,0.0,3,7,0.0
32,Good to know.,Chandler,neutral,0.0,3,8,0.0
33,We can go into detail,The Interviewer,neutral,0.0,3,9,0.0
34,No don't I beg of you!,Chandler,fear,0.0,3,10,0.0
35,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.",The Interviewer,neutral,1.0,3,11,0.0
36,Really?!,Chandler,surprise,0.0,3,12,0.0
37,But then who? The waitress I went out with last month?,Joey,surprise,0.0,4,0,1.0
38,You know? Forget it!,Rachel,sadness,0.0,4,1,1.0
39,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,1.0,4,2,1.0
40,"No, I-I-I-I don't, I actually don't know",Rachel,fear,0.0,4,3,1.0
41,But then who? The waitress I went out with last month?,Joey,surprise,0.0,5,0,1.0
42,You know? Forget it!,Rachel,sadness,0.0,5,1,1.0
43,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,0.0,5,2,1.0
44,"No, I-I-I-I don't, I actually don't know",Rachel,fear,1.0,5,3,1.0
45,Ok!,Joey,neutral,0.0,5,4,1.0
46,But then who? The waitress I went out with last month?,Joey,surprise,0.0,6,0,1.0
47,You know? Forget it!,Rachel,sadness,0.0,6,1,1.0
48,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,0.0,6,2,1.0
49,"No, I-I-I-I don't, I actually don't know",Rachel,fear,0.0,6,3,1.0
50,Ok!,Joey,neutral,1.0,6,4,1.0
51,"All right, well...",Joey,neutral,1.0,6,5,1.0
52,"Yeah, sure!",Rachel,neutral,0.0,6,6,1.0
53,"Hey, Mon.",Chandler,neutral,0.0,7,0,2.0
54,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,1.0,7,1,2.0
55,Do I ever.,Chandler,joy,0.0,7,2,2.0
56,"Hey, Mon.",Chandler,neutral,0.0,8,0,2.0
57,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,8,1,2.0
58,Do I ever.,Chandler,joy,0.0,8,2,2.0
59,Chris says they're closing down the bar.,Monica,sadness,1.0,8,3,2.0
60,"Hey, Mon.",Chandler,neutral,0.0,9,0,2.0
61,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,9,1,2.0
62,Do I ever.,Chandler,joy,0.0,9,2,2.0
63,Chris says they're closing down the bar.,Monica,sadness,1.0,9,3,2.0
64,No way!,Chandler,surprise,0.0,9,4,2.0
65,"Hey, Mon.",Chandler,neutral,0.0,10,0,2.0
66,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,10,1,2.0
67,Do I ever.,Chandler,joy,0.0,10,2,2.0
68,Chris says they're closing down the bar.,Monica,sadness,0.0,10,3,2.0
69,No way!,Chandler,surprise,1.0,10,4,2.0
70,"Yeah, apparently they're turning it into some kinda coffee place.",Monica,neutral,0.0,10,5,2.0
71,"Hey, Mon.",Chandler,neutral,0.0,11,0,2.0
72,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,0.0,11,1,2.0
