Sr No.,Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
1,kya kya bhar ke rakha hai indravadan ne is ghar mein indravadan please tum sari bekar ki chijen bahar kyon nahin fekte?,maya,disgust,0,0
2,"ok, chalo rosesh chalo bahar",indu,contempt,0,1
3,momma! hath chhodiye dad!,rosesh,anger,0,2
4,"dekho maya ya na bol raha hai! fir tum hi kahogi faltu chijen jama karte ho fekte nahin ho, chalo",indu,neutral,0,3
5,"indravadan, tum kitne salo se ye joke maar rahe ho. koi hota hai aaj tak?",maya,neutral,0,4
6,kaikai pe joke maroge to manthra thodi na hasegi,indu,contempt,0,5
7,very funny,rosesh,contempt,0,6
8,"maya, monisha aur sahil aa rahe hain, dekhna yahi jo un per istemal karta hun aur dekhna vah kitna haste hain",indu,neutral,0,7
9,hi guys,sahil,joy,0,8
10,hi,rosesh,joy,0,9
11,"hi darling. achcha indravadan, please ya kachra bahar fenko!",maya,neutral,0,10
12,"ok maya, chalo rosesh tumhen bahar fenk au",indu,neutral,0,11
13,mom! diwali ka lunch hamare ghar pe,sahil,joy,0,12
14,aur mein khana fresh banane wali hun,monish,joy,0,13
15,"i rest my case indravadan. hase donon, huh? achcha ab to please kachra bahar fenk do",maya,neutral,0,14
16,"ok maya, chalo monisha tumhe bahar fenk aau",indu,neutral,0,15
17,"ha ha ha, indravadan you are so funny",maya,joy,0,16
18,"haila, sahil! tumhare diwali lunch per hai na maiya ko keede, makode aur mukhiya khilana",indu,neutral,0,17
19,kyunki jab maine wahi joke rosesh pe mara to bilkul nahin hasi lekin vahi joke jab maine monisha per mara to dekho kaise has rahi hai!,indu,contempt,0,18
20,acha now cut it out huh indravadan. rosesh sweety tumhi nikalo na sara kachra bahar,maya,neutral,0,19
21,"ok chaliye dad, mein aapko bahar fenk kar aata hun!",rosesh,joy,0,20
22,"haha, you asked for that one. sahil darling tumhi madad kar do please meri. mera ghar to ekadam monisha ka ghar ban gaya hai!",maya,contempt,0,21
23,rosesh beta happy diwali!,maya,joy,1,0
24,you bet momma.,rosesh,neutral,1,1
25,"rosesh bete, diwali mubarak ho!",indu,joy,1,2
26,"please dad mubarak ho aisa shabd istemal na karen to behtar hoga kyunki mere paida hone per ""mubarak ho aapko teesra baccha hua hai"" aisa to kisi ne nahin kaha hoga na?",rosesh,sadness,1,3
27,how can you say that rosesh?,maya,neutral,1,4
28,tumhen maloom nahin indravadan to khushi se nach utha tha vahi nursing home mein!,maya,joy,1,5
29,"han han yad hai! yad hai! aur maya tum bhi to kitna naachi thi, yad hai tumhen?",indu,neutral,1,6
30,meri cesarean delivery hui thi indravadan!,maya,neutral,1,7
31,aur mithaai kaun si bati thi?,rosesh,neutral,1,8
32,baithi thi na mithaiyan! vah kadak bundi ke laddu bate the. haina?,indu,neutral,1,9
33,dry fruits ke boxes baate the indravadan!,maya,neutral,1,10
34,"are haan, yad aaya dryfruits ke boxes bate the! unn dino diwalil bhi to thi to lage hatho humne...",indu,neutral,1,11
35,"it's ok momma. diwali ka ek bahana to tha, dry fruits bantne ka... mera janam to!",rosesh,sadness,1,12
36,"happy diwali! mummy ji ye liljiye aapka gift, candal. kesa laga?",monisha,joy,1,13
37,jaisa laga so laga tumhen achcha laga na?,maya,contempt,1,14
38,haan.,monisha,joy,1,15
39,to tang do kahin bhi,maya,neutral,1,16
40,"aur mummy ji yah stickers kahan lagaun? ""shubh labh"", ""happy diwali"", ""welcome"" wale?",monisha,joy,1,17
41,yah plastic ke stickers tumne kahan se khariden?,maya,contempt,1,18
42,khareed nahin mummy ji mujhe dukandar ne aise hi de diye. mujhe aate hue dekhkar dukandar ne kaha ki bahan ji please jor jor se bhav mat karna jo chahie aise hi muft mein le jaaiye!,monisha,joy,1,19
43,aur tumne le liye?,sahil,neutral,1,20
44,haan! ismein se do to main bech bhi diye sahil! kahan lagau balcony main?,monisha,joy,1,21
45,jahan ji chahe laga do ab yah ghar to hamara raha hi nhi. chalo indravadan.,maya,neutral,1,22
46,haan chalo maya,indu,neutral,1,23
47,ek minute! mom-dad aap donon kahan ja rahe ho?,sahil,neutral,1,24
48,"pata nahin beta lekin jo zyattiyan humne rosesh pe ki hain, shayad usi ka yah prayashchit hai",indu,sadness,1,25
49,"indravadan prayaschit is melodramatically middle class. rosesh beta, aaj se yah ghar tumhara. consider this our penance. tum kahin nahin jaaoge ham hi chale jaenge. happy diwali and goodbye. chalo indu.",maya,sadness,1,26
50,"maya ye to rok hi nhi rha hai, kahan jaenge hum log?",indu,neutral,1,27
51,rosesh kya kar rahe ho? mom and dad ghar chhodkar ja rahe hain!,sahil,neutral,1,28
52,"dekha mujhe pata tha ki yah nalayak kuchh zyatti karega. ab kya karen? kuchh karo, tum karo!",indu,neutral,1,29
53,"rosesh beta, yah middle class ghar ab tumhen mubarak ho.",maya,sadness,1,30
54,"ab bhi koi asar nhi ho rha hai, me karta hun. rosesh bete suno meri almari ke teesre drawer main kuchh dvds rakhi hai, wo mat dekhna, huh? or, or bete suno, maa baap to aakhir maa baap hi hote hain!",indu,neutral,1,31
55,momma please aap...,rosesh,neutral,1,32
56,acha! nahin jaaungi main!,maya,neutral,1,33
57,hum! hum nhi jaenge bete!,indu,neutral,1,34
58,momma!!,rosesh,joy,1,35
59,chalo inki katti khatam ho gyi!,monisha,joy,1,36
